titolo,autore,tono_originale,tono_live,giro_accordi_1,giro_accordi_2,giro_special
Talkin' Bout a Revolution,Tracy Chapman,G,A,A - Dadd9 - F#m - E,-,Esus4 sul E
Proud Mary,CCR,D,D,D - A - Bm,D - Bm - D - Bm,C - Bm - G - F - D
Dancing in the Dark,Bruce Springsteen,B,G,G - C - G - C,Em - C - D,-
Hungry Heart,Bruce Springsteen,C,G,G - Em - Am - D,G - Em - C - D,-
Let It Be,The Beatles,C,E,E - B - C#m - A,E - B - A - E,C#m - B - A - E
While My Guitar Gently Weeps,The Beatles,Am,Am,Am - Am/G - D/F# - F,Am - G - D - E,A - C#m - F#m - C#m / Bm - E
Yesterday,The Beatles,F,D,D - C#m7 - F#7 - Bm,G - A - D,Bm - E - G - D
Hotel California,Eagles,Bm,Am,Am - E7 - G - D - F - C - Dm - E7,F - C - E7 - Am,F - C - Dm - E7
I Shall Be Released,Bob Dylan,E,A,A - Bm - C#m - Bm,A - Bm - A,-
Knockin' on Heaven's Door,Bob Dylan,G,G,G - D - Am,G - D - C,-
One,U2,Am,Am,Am - D - F - G,C - Am - F - C,-
With or Without You,U2,D,D,D - A - Bm - G,-,stesso giro
I Still Haven't Found What I'm Looking For,U2,Db,A,A - D - A,A - E - D - A,-
Stand by Me,Ben E. King,A,G,G - Em - C - D,-,stesso giro
Back to Black,Amy Winehouse,Dm,Dm,Dm - Gm - Bb - A,-,stesso giro
It's a Heartache,Bonnie Tyler,C,C,C - Em - F - G,C - Am - F - G,-
To Love Somebody,Bee Gees,A,G,G - Am - C - G,D - C - G,-
Zombie,The Cranberries,Em,Em,Em - C - G - D/F#,-,stesso giro
Sally,Vasco Rossi,G,D,D - A - G - D,Bm - A - G,-
Piccola stella senza cielo,Ligabue,Bm,Bm,Bm - F#m - Em - Bm,-,stesso giro
Il tempo di morire,Lucio Battisti,D,Em,Em - D - A - Em,A - G - D - A,-
Tutti Frutti,Elvis Presley,C,C,C - F - C,G - F - C,Blues I-IV-V
Can't Help Falling in Love,Elvis Presley,D,D,D - A - D - A,F#m - Bm - G - D,Em - A - F#m - Bm - Em - A
Blue Suede Shoes,Elvis Presley,A,A,A,D - A,E - D - A
Honky Tonk Women,The Rolling Stones,G,G,G - C - G,D - C - G,-
